Index,Real,Predict_1,Predict_2,Predict_3,Predict_4,Predict_5,Predict_6,Predict_7,Predict_8,Predict_9,Predict_10,Predict_11,Predict_12,Predict_13,Predict_14,Predict_15,Predict_16,Predict_17,Predict_18,Predict_19,Predict_20,Predict_21,Predict_22,Predict_23,Predict_24,Predict_25,Predict_26,Predict_27,Predict_28,Predict_29
70,-0.54299,-0.6549803614616394,-0.5340168476104736,-0.4876339733600616,-0.5424894094467163,-0.6278819441795349,-0.5685404539108276,-0.5111902952194214,-0.5892975330352783,-0.4865131676197052,-0.5001943111419678,-0.5367960333824158,-0.5764083862304688,-0.5152331590652466,-0.5225133299827576,-0.52312171459198,-0.5158326625823975,-0.4989132583141327,-0.5970692038536072,-0.5542359948158264,-0.5404967069625854,-0.4660980701446533,-0.5739713907241821,-0.6536073684692383,-0.5253927707672119,-0.4863882064819336,-0.6618531942367554,-0.5223814249038696,-0.5294592380523682,-0.49626752734184265
71,-0.54496,-0.6494555473327637,-0.4085097312927246,-0.6547519564628601,-0.5382356643676758,-0.5899768471717834,-0.5366631746292114,-0.6737370491027832,-0.4940268397331238,-0.604454517364502,-0.5886006355285645,-0.5105617046356201,-0.5629106760025024,-0.5943264961242676,-0.5778234601020813,-0.4770166575908661,-0.452633798122406,-0.5696525573730469,-0.5806587338447571,-0.630041241645813,-0.5610008835792542,-0.4560222923755646,-0.6807843446731567,-0.5671164989471436,-0.5568175911903381,-0.4750294685363769,-0.5315589308738708,-0.5310258865356445,-0.4931002557277679,-0.5347299575805664
72,-0.52601,-0.4972850680351257,-0.4493719637393951,-0.4750064313411712,-0.5546048283576965,-0.4894378781318664,-0.5420717000961304,-0.5315902829170227,-0.4748142957687378,-0.4987692236900329,-0.5995720624923706,-0.555932879447937,-0.5849790573120117,-0.520404577255249,-0.5445653200149536,-0.4308213889598846,-0.4773328006267547,-0.4383178949356079,-0.5042489171028137,-0.4755477905273437,-0.5140314102172852,-0.4533354043960571,-0.5415967702865601,-0.4919843375682831,-0.5795584917068481,-0.3792360723018646,-0.4742835164070129,-0.4731955528259277,-0.5051288604736328,-0.4444825351238251
73,-0.49333,-0.4393726289272308,-0.4000626802444458,-0.465724915266037,-0.4990908801555633,-0.5404159426689148,-0.3674337863922119,-0.4296666085720062,-0.3970296084880829,-0.4757897555828094,-0.528118908405304,-0.4012350142002105,-0.4582025706768036,-0.4640482366085052,-0.5580867528915405,-0.4001619517803192,-0.3428967297077179,-0.4473757445812225,-0.4825318157672882,-0.3755104839801788,-0.4679282307624817,-0.3486466705799103,-0.3755869269371032,-0.450395405292511,-0.4079240262508392,-0.319240391254425,-0.4549873471260071,-0.4498436748981476,-0.4579696357250213,-0.4314805269241333
74,-0.45362,-0.49396812915802,-0.2813355028629303,-0.4443653225898742,-0.4585436582565307,-0.4699746668338775,-0.4170492589473724,-0.4314087927341461,-0.4192250072956085,-0.371175616979599,-0.3643944859504699,-0.4499774873256683,-0.4381359219551086,-0.4183290004730224,-0.5532273054122925,-0.3509190678596496,-0.2805778384208679,-0.3904570341110229,-0.4462258517742157,-0.3560421764850616,-0.3549598753452301,-0.4733450412750244,-0.3839448988437652,-0.4034587144851684,-0.4227712750434875,-0.4198716878890991,-0.4316930472850799,-0.2946755588054657,-0.4620663225650787,-0.4873693585395813
75,-0.41167,-0.3596586883068084,-0.3594850301742553,-0.3839537501335144,-0.4608079195022583,-0.3941139280796051,-0.3996998965740204,-0.4181591272354126,-0.4141413271427154,-0.4095235168933868,-0.4026821851730346,-0.3494502007961273,-0.3398091197013855,-0.3901905119419098,-0.4459963142871856,-0.4263958930969238,-0.2474989891052246,-0.4065321683883667,-0.3544038236141205,-0.3972260951995849,-0.437160462141037,-0.350425660610199,-0.4007608592510223,-0.4781382083892822,-0.3751499652862549,-0.2882245779037475,-0.403703898191452,-0.3061011433601379,-0.3528730273246765,-0.33167198300361633
76,-0.36728,-0.4332351684570312,-0.2414083182811737,-0.3260298073291778,-0.3358671963214874,-0.3356795907020569,-0.3215005099773407,-0.4049951434135437,-0.2993883490562439,-0.3021869659423828,-0.3843241035938263,-0.3211950957775116,-0.3985570073127746,-0.329223483800888,-0.3385839164257049,-0.3374021351337433,-0.3395876884460449,-0.4340624511241913,-0.3639150559902191,-0.2950891256332397,-0.3438053727149963,-0.3594706952571869,-0.421506255865097,-0.3787893056869507,-0.4097003638744354,-0.3118099570274353,-0.3785848915576935,-0.3194013833999634,-0.3938155174255371,-0.38242846727371216
77,-0.31723,-0.2979124784469604,-0.1977057307958603,-0.2687149345874786,-0.3425962328910827,-0.355171650648117,-0.3632008135318756,-0.3428816199302673,-0.3014691472053528,-0.2484695464372635,-0.3482876718044281,-0.3700432777404785,-0.2815289795398712,-0.2924584746360779,-0.308954507112503,-0.2940283417701721,-0.1855814009904861,-0.3586681187152862,-0.2993273735046386,-0.2982224225997925,-0.2722700834274292,-0.2380472123622894,-0.2819838523864746,-0.3388007879257202,-0.285680204629898,-0.3482595384120941,-0.3232606053352356,-0.2451182454824447,-0.3133752644062042,-0.2957850694656372
78,-0.25676,-0.2801984548568725,-0.1908996999263763,-0.2187633216381073,-0.3008366525173187,-0.3307010531425476,-0.2864484190940857,-0.3799624145030975,-0.1723096519708633,-0.1909040361642837,-0.2220751643180847,-0.2617428004741668,-0.2390243709087371,-0.2845031321048736,-0.3277836740016937,-0.2167055308818817,-0.1759284138679504,-0.347597599029541,-0.3031820654869079,-0.2979487180709839,-0.3259916603565216,-0.1212719529867172,-0.4515756666660309,-0.2590045630931854,-0.3546389937400818,-0.2933314740657806,-0.3368419110774994,-0.1477425843477249,-0.2861450910568237,-0.2429674118757248
79,-0.18186,-0.1850079745054245,-0.1196169704198837,-0.1022190898656845,-0.1845232546329498,-0.1905270963907241,-0.2607339322566986,-0.1975124478340149,-0.2597040832042694,-0.1709702759981155,-0.1513722985982895,-0.1577434539794922,-0.2439893186092376,-0.2325741350650787,-0.2438090592622757,-0.1576747447252273,-0.1534395068883896,-0.2385300397872924,-0.1172277405858039,-0.1931277364492416,-0.1000018194317817,-0.1097790077328682,-0.114956296980381,-0.2928391993045807,-0.2085148096084594,-0.1735406965017318,-0.2018850743770599,-0.184062510728836,-0.2926453649997711,-0.23609229922294617
80,-0.09663,-0.1359855830669403,0.002415623050183,-0.0832815542817115,-0.0849123820662498,-0.1012838259339332,-0.0577091909945011,-0.1015567630529403,-0.1608591824769973,-0.1193445995450019,-0.0999223515391349,-0.1050635948777198,-0.1155659630894661,-0.040108785033226,-0.1804826408624649,-0.0685971900820732,0.0101480549201369,-0.1848205476999282,-0.2449555397033691,-0.0645522251725196,-0.2142238169908523,-0.098358154296875,-0.1454885005950927,-0.2520833909511566,-0.0370940305292606,-0.0821560248732566,-0.1060277372598648,-0.0426503345370292,-0.1702818870544433,-0.11238189786672592
81,-0.02232,0.0004507103585638,0.1498493701219558,0.0497730374336242,0.0051963231526315,-0.0087641822174191,0.0486122108995914,0.0092329829931259,0.0961232706904411,0.0376009605824947,-0.0163973309099674,0.003615899477154,0.0329969115555286,0.0257480647414922,-0.0836439654231071,-0.0358828082680702,-0.0062143257819116,-0.0704465806484222,-0.0276129972189664,-0.0066977208480238,-0.0749007612466812,-0.081656590104103,-0.044609397649765,-0.0236807204782962,-0.0667374059557914,-0.0384743772447109,-0.0017250387463718,0.0186473857611417,-0.0603885315358638,0.04045753926038742
82,0.02993,0.0814100205898284,0.170669138431549,0.0730305463075637,0.1551891714334488,-0.1057598963379859,0.0867902189493179,0.0863813832402229,0.1788421273231506,0.1177059710025787,0.0530548766255378,0.0938552170991897,0.1064612343907356,0.153790146112442,0.0671135336160659,0.1529143303632736,0.1070297583937645,-0.0812854990363121,0.0599707663059234,0.1789712309837341,0.0607929714024066,0.045221272855997,-0.1619792431592941,-0.0768228247761726,0.0775779634714126,0.1732203215360641,0.0821435078978538,0.2034671455621719,0.1079784259200096,0.16695600748062134
83,0.06472,-0.0047312984243035,0.218329519033432,0.0521990731358528,0.2041810154914856,-0.0947937592864036,0.1162261515855789,0.0594362169504165,0.0908230990171432,0.1669197678565979,0.0427135080099105,0.1330383270978927,0.0269979834556579,0.1550336480140686,0.0685254037380218,0.1075714752078056,0.2241087406873703,0.104732260107994,-0.0071163736283779,0.1278132796287536,0.1107746064662933,0.030980659648776,0.0253275241702795,0.1375759392976761,0.1053419336676597,0.2063320279121399,0.0809170007705688,0.2529670894145965,0.1899147182703018,0.05568193271756172
84,0.09302,0.1338711082935333,0.2200860381126403,0.160367414355278,0.1598105877637863,0.0512473843991756,0.0587706752121448,0.1431924551725387,0.0812533572316169,0.1119667664170265,-0.0797456577420234,0.0838989093899726,0.0220770183950662,0.1630480736494064,0.0856512859463691,0.1642908155918121,0.2733093202114105,0.0916566327214241,0.1353796124458313,0.1851596683263778,0.1699413061141967,0.2237312346696853,0.0947536826133728,0.1349911540746688,0.1693203151226043,0.2780734300613403,0.0742038264870643,0.261551171541214,0.0564199537038803,0.12853507697582245
85,0.12227,0.0094617502763867,0.046211089938879,0.141783982515335,0.1504726260900497,-0.0230221636593341,0.0872956961393356,0.1572227925062179,0.1036348566412925,0.1233843937516212,0.2048503309488296,0.0349873080849647,0.1596648693084716,0.0697628632187843,0.0156937874853611,0.2060164362192154,0.2173325270414352,-0.0306960791349411,0.026581784710288,0.1200710386037826,0.1457844078540802,0.2188516110181808,0.1586025804281234,0.0647624358534812,0.1168120354413986,0.2637682557106018,0.0464009754359722,0.1861800551414489,0.1236920654773712,0.16476044058799744
86,0.15277,0.0202353596687316,0.26405930519104,-0.0183454435318708,0.1537501364946365,0.1219729036092758,0.1394245773553848,0.0706873685121536,0.1129041090607643,0.0608839504420757,0.1018024459481239,0.0558578483760356,0.1274440884590149,0.0427961833775043,0.1148727983236312,0.1220046132802963,0.147030159831047,0.1127100735902786,0.0865157693624496,0.0703294947743415,0.1731814295053482,0.2718902826309204,0.105876475572586,0.1107066497206687,-0.0260221920907497,0.0014074962818995,0.1301568299531936,0.1739398390054702,-0.1001792475581169,0.131100594997406
87,0.18548,0.1146606355905532,0.1232420802116394,0.1090735644102096,0.1722003072500229,0.1448798924684524,0.1919909864664077,0.2172086983919143,-0.0589995048940181,0.13223198056221,0.1365283578634262,0.0562738589942455,0.1041037142276763,0.1336997151374817,0.1326075941324234,0.160037100315094,0.2304776161909103,0.2383274585008621,0.1471573859453201,0.2235341668128967,0.1205961480736732,-0.0537601150572299,0.1215769052505493,0.0420721285045146,0.1769983917474746,0.2317343354225158,0.0781374275684356,0.077722929418087,0.0615287274122238,0.1669692099094391
88,0.21956,0.1008186712861061,0.0973260030150413,0.2400424629449844,0.1426454484462738,0.0948824137449264,0.1883978992700576,0.1856859028339386,0.1342051923274994,0.1761603206396103,0.2227938920259475,0.0902062579989433,0.0877222791314125,0.2219112813472747,0.1195451691746711,0.2817046344280243,0.1167055815458297,0.2344100922346115,0.1006102859973907,0.1807677745819091,0.1617977768182754,0.1826552897691726,0.2271302789449691,0.1492495238780975,-0.0273402500897645,0.1252824962139129,0.1611741334199905,0.0181490797549486,0.1909113228321075,0.16844601929187775
89,0.24385,0.2739608883857727,0.2981178164482116,0.230627492070198,0.0774054452776908,0.0416776351630687,0.0873251408338546,0.3127204477787018,0.2094555050134658,0.2540946900844574,0.2141101360321045,0.2302416861057281,0.1354804039001464,0.1439557671546936,0.1071094051003456,0.3760272562503814,0.273157924413681,0.2279358804225921,0.0732910260558128,0.2766574025154114,0.2698321342468261,0.2199535369873047,0.124169610440731,0.1686668545007705,0.1642055064439773,0.1742845028638839,0.1670284867286682,0.1895285248756408,0.1885749548673629,0.20097826421260834
90,0.23612,0.218015432357788,0.2822290062904358,0.1045672893524169,0.2687064111232757,0.3125343322753906,0.1864526122808456,0.2251170575618744,0.2499942481517791,0.1511072218418121,0.3572097718715668,0.3128669261932373,0.2663160264492035,0.2131527960300445,0.0832209065556526,0.3154332041740417,0.3537786304950714,0.1627566367387771,0.2545605301856994,0.1921612471342086,0.3122123181819916,0.2504230737686157,0.2267961949110031,0.2323998808860778,0.2493962794542312,0.2715746760368347,0.0776187404990196,0.3600097298622131,0.3165615499019623,0.32682931423187256
91,0.18165,0.252562016248703,0.3157722055912018,0.2577821612358093,0.3244684040546417,0.2394611090421676,0.2808137238025665,0.1400787979364395,0.2277441024780273,0.230716586112976,0.3457860946655273,0.1739889234304428,0.2563450038433075,0.1967520862817764,0.1673652231693267,0.1994886249303817,0.2894729375839233,0.247739776968956,0.1972756832838058,0.180119976401329,0.2499006241559982,0.3011899292469024,0.2836487889289856,0.1032996326684951,0.2912313640117645,0.3382023870944977,0.1805590093135833,0.2205937951803207,0.3020612299442291,0.2649834454059601
92,0.08236,0.1783139854669571,0.2435642033815384,0.1874250769615173,0.0869280099868774,0.1667846143245697,0.135618194937706,0.1625546813011169,0.1601069271564483,0.0717798694968223,0.2024165540933609,0.2360265702009201,0.0930111184716224,0.06755181401968,0.0759984850883483,0.2708340287208557,0.2534008324146271,0.1009243726730346,0.1436896324157714,0.2233450412750244,0.2440662831068039,0.2443701773881912,0.2071104496717453,0.1065952479839325,0.2216481566429138,0.2060745805501938,0.1050067096948623,0.0836656093597412,0.1817968487739563,0.1414061039686203
93,-0.03816,-0.1449350863695144,-0.0419627092778682,0.0546475686132907,0.0569246783852577,-0.0210123267024755,0.0674755573272705,-0.1327171474695205,0.0294185448437929,0.0763152167201042,0.0759116634726524,0.0123151205480098,0.0493857190012931,0.0525042861700058,-0.1709710210561752,0.0895731821656227,0.0804930627346038,0.0696511194109916,0.0327371880412101,0.07330272346735,0.1738001704216003,0.0713332816958427,-0.0026574756484478,-0.0709862262010574,0.1267589181661605,0.155294120311737,-0.0097700441256165,0.0344048179686069,-0.0310652796179056,0.12224320322275162
94,-0.1468,-0.1575543135404586,-0.0891017392277717,-0.0612537749111652,-0.1619941443204879,-0.2024415135383606,-0.0903218314051628,-0.0795123577117919,-0.0974676236510276,-0.0678818151354789,-0.0787201672792434,-0.0413088724017143,-0.2315318435430526,-0.1572949737310409,-0.1748372465372085,-0.0894154459238052,-0.0998328849673271,-0.1303196102380752,-0.1070522889494896,-0.177301600575447,-0.1638454347848892,-0.0505230091512203,-0.2153884172439575,-0.1674589067697525,-0.0762982815504074,-0.0025772559456527,-0.1360569298267364,-0.121681734919548,-0.0989942550659179,-0.18518050014972687
95,-0.21559,-0.2735721170902252,-0.1530703157186508,-0.2257222384214401,-0.3758736550807953,-0.3304198086261749,-0.2527480125427246,-0.2462245225906372,-0.3277330994606018,-0.277090460062027,-0.2072078883647918,-0.374842882156372,-0.3090088665485382,-0.286086767911911,-0.2377954125404358,-0.1415728330612182,-0.2585391104221344,-0.2381625324487686,-0.1460368335247039,-0.2321462333202362,-0.2341473847627639,-0.1543800681829452,-0.5764669179916382,-0.2492022812366485,-0.2210121154785156,-0.1448176801204681,-0.239518716931343,-0.2560390830039978,-0.1883362531661987,-0.2511632442474365
96,-0.22824,-0.5607528686523438,-0.2375011444091797,-0.3264556229114532,-0.3220272958278656,-0.3739257156848907,-0.3358326554298401,-0.4325567781925201,-0.334282249212265,-0.3623850345611572,-0.278835654258728,-0.3160172402858734,-0.3372128009796142,-0.3727059960365295,-0.3226443231105804,-0.206929475069046,-0.4482828676700592,-0.3014991581439972,-0.369954764842987,-0.2975765168666839,-0.3678758442401886,-0.2234908044338226,-0.3082321584224701,-0.4240699112415313,-0.2529894113540649,-0.2656612992286682,-0.3007477223873138,-0.2628428637981415,-0.335675984621048,-0.2670074999332428
97,-0.19082,-0.2831879258155823,-0.2256871312856674,-0.3560153841972351,-0.311771810054779,-0.3591301739215851,-0.2799659073352813,-0.3872265517711639,-0.2769789099693298,-0.2821880877017975,-0.2975776493549347,-0.2791584134101867,-0.3715066611766815,-0.4004311263561249,-0.4143240451812744,-0.2418231964111328,-0.2123748064041137,-0.2551742196083069,-0.3462225198745727,-0.2701858878135681,-0.3729770481586456,-0.2449948042631149,-0.2900513410568237,-0.3228746056556701,-0.2669761478900909,-0.2349292039871215,-0.278175413608551,-0.2522274255752563,-0.3668544888496399,-0.36317041516304016
98,-0.12728,-0.1540941148996353,-0.1355004906654358,-0.3137008845806122,-0.2779941856861114,-0.268410861492157,-0.2504516243934631,-0.2592412829399109,-0.2135809361934662,-0.2731236219406128,-0.1882496178150177,-0.1691101193428039,-0.2973520755767822,-0.3621309697628021,-0.3089667856693268,-0.1128690689802169,-0.0844416320323944,-0.1274350881576538,-0.2116163969039917,-0.3028536438941955,-0.1466965228319168,-0.2967475056648254,-0.2480956315994262,-0.2732438743114471,-0.2084768712520599,-0.148988738656044,-0.2711107730865478,-0.22231525182724,-0.2536045610904693,-0.1121644601225853
99,-0.06651,-0.1977234780788421,0.0383329428732395,-0.1962077915668487,-0.1438876986503601,-0.1066617593169212,-0.1399493813514709,-0.0682646036148071,-0.1292078644037246,-0.0907465294003486,-0.1604033410549163,-0.1072149947285652,-0.1299220919609069,-0.0275542959570884,-0.2065255492925644,-0.032553780823946,0.0203312467783689,-0.1194833293557167,-0.1686218082904815,-0.0888269171118736,-0.2071305066347122,-0.1076983883976936,-0.0675431936979293,-0.165660098195076,-0.1697484850883484,-0.0441897995769977,-0.0405685864388942,-0.0614042095839977,-0.2189951092004776,0.013074848800897598
100,-0.03698,0.0241402704268693,0.1063800677657127,0.0871941447257995,0.0202113892883062,0.0339942798018455,0.0579669699072837,-0.0096464110538363,0.0611021481454372,-0.0257501993328332,0.0771453455090522,0.0760339722037315,-0.045953880995512,0.0067271059378981,-0.1725303083658218,0.1475205421447754,0.050000861287117,0.056757066398859,-0.065020702779293,-0.1867735683917999,-0.099125251173973,0.0057238861918449,0.0406868755817413,-0.1077499166131019,0.0624328516423702,-0.1074488535523414,0.0066132880747318,0.0515684522688388,0.0013818260049447,0.03389574959874153
101,-0.05164,-0.0765746161341667,0.1054955720901489,-0.1792219579219818,0.006193502806127,-0.1316646635532379,0.1134605482220649,0.0510103106498718,0.0640829280018806,-0.0077894646674394,0.0666846856474876,0.0247671175748109,-0.0780404731631279,0.0558268949389457,0.0405900441110134,0.1323320120573043,0.0655129104852676,-0.012894463725388,0.0029935827478766,-0.1609152406454086,0.0177845992147922,0.0174401253461837,0.1374328583478927,-0.0439472533762455,0.0900107100605964,0.0792246460914611,-0.0029494755435734,0.0491361878812313,-0.0113523555919528,0.04457498714327812
102,-0.10559,0.0268983226269483,0.1270360052585601,-0.0374402031302452,-0.2366060763597488,0.077580988407135,-0.0749753192067146,-0.0397339239716529,0.0184605214744806,0.0475029125809669,-0.028411041945219,0.0731951370835304,-0.0685207396745681,0.0128400409594178,-0.1187604144215583,0.0107031753286719,-0.010016743093729,0.0668473914265632,0.1161665022373199,0.0044096033088862,-0.0454519875347614,0.1241303458809852,-0.021554235368967,0.0493081398308277,-0.0829163193702697,-0.0073551456443965,-0.0045191408134996,0.0820106267929077,0.0396262742578983,-0.04488290101289749
103,-0.17977,-0.1433888226747512,0.0852756649255752,-0.0268317516893148,-0.0684563741087913,-0.0665514841675758,-0.148490235209465,-0.1465776115655899,-0.0696122944355011,-0.0673280134797096,-0.1239214688539505,-0.0314458049833774,-0.0290807355195283,-0.0881032347679138,-0.1173073947429657,-0.0114369168877601,0.0431653819978237,-0.1236402243375778,-0.0327006317675113,-0.1859902441501617,-0.1439245045185089,-0.0666328370571136,-0.1704647988080978,-0.074541188776493,-0.2144035100936889,0.0062418230809271,-0.1734355688095092,-0.1835134327411651,-0.1217368468642234,-0.07478901743888855
104,-0.24542,-0.2078666388988495,-0.1213229149580001,-0.1701212674379348,-0.2309431284666061,-0.1369323581457138,-0.1450188905000686,-0.2696600258350372,-0.1891059875488281,-0.2327908277511596,-0.1674936413764953,-0.2750330567359924,-0.1805673837661743,-0.1990602016448974,-0.1789775341749191,-0.0981592088937759,-0.2129372805356979,-0.2467375546693802,-0.2015207856893539,-0.2445072531700134,-0.1569986343383789,-0.0861035957932472,-0.2586351931095123,-0.2253790944814682,-0.204526662826538,-0.2327106148004531,-0.2767631709575653,-0.2800393402576446,-0.2283245623111724,-0.24899126589298248
105,-0.28362,-0.2901838421821594,-0.3414995670318603,-0.1857097595930099,-0.3179377913475036,-0.3330174088478088,-0.4511541724205017,-0.3312178552150726,-0.3999711275100708,-0.2499520033597946,-0.2846097946166992,-0.3298278748989105,-0.3822132647037506,-0.356443852186203,-0.2859199047088623,-0.2125169336795807,-0.2388435453176498,-0.2829613983631134,-0.3389095067977905,-0.2885617017745971,-0.3386293947696686,-0.1256995201110839,-0.3680143654346466,-0.257947564125061,-0.2942523956298828,-0.2183050215244293,-0.4684129357337951,-0.1998941153287887,-0.2299929559230804,-0.347167044878006
106,-0.28606,-0.3234631419181824,-0.2132441997528076,-0.2948058247566223,-0.3134430348873138,-0.376476913690567,-0.3477963507175445,-0.3834758400917053,-0.3228423297405243,-0.3267049789428711,-0.3130976259708404,-0.2732583880424499,-0.4184562265872955,-0.2818305790424347,-0.327099084854126,-0.2465725839138031,-0.2690984904766083,-0.2804170250892639,-0.3073908686637878,-0.3287134766578674,-0.3335349857807159,-0.373522937297821,-0.2339348495006561,-0.3558740019798279,-0.2985342442989349,-0.2694999575614929,-0.434315949678421,-0.2935360670089721,-0.2907731235027313,-0.30538633465766907
107,-0.25459,-0.3525615930557251,-0.2908335030078888,-0.3681783974170685,-0.3416360318660736,-0.4012295305728912,-0.3263940811157226,-0.2934873700141907,-0.2927150130271911,-0.3508726358413696,-0.2309569120407104,-0.3180591762065887,-0.4115059673786163,-0.3471600711345672,-0.3584029078483581,-0.2868440449237823,-0.1712624579668045,-0.3321357667446136,-0.3239758014678955,-0.2491124421358108,-0.2531158626079559,-0.2758658230304718,-0.2610276341438293,-0.3501150012016296,-0.2723610699176788,-0.3020960092544555,-0.4075206518173218,-0.1771877706050872,-0.3925759792327881,-0.30039381980895996
108,-0.20116,-0.3077317774295807,-0.1444560289382934,-0.1430347263813018,-0.2700144946575165,-0.2611793875694275,-0.3089365661144256,-0.2042475044727325,-0.2239217311143875,-0.2415995299816131,-0.2767201066017151,-0.3240007162094116,-0.2745298445224762,-0.1477373093366623,-0.2546702623367309,-0.1862697899341583,-0.0628713816404342,-0.1761635988950729,-0.3520038425922394,-0.2721364498138428,-0.2917353808879852,-0.1615486890077591,-0.3559655547142029,-0.3263182044029236,-0.2311802059412002,-0.1806678026914596,-0.3580229580402374,-0.1846567094326019,-0.2451695948839187,-0.17218829691410065
109,-0.14471,-0.3294518887996673,-0.0659773051738739,-0.1518173813819885,-0.1490653604269027,-0.2527998983860016,-0.1611009687185287,-0.1742857098579406,-0.1524914056062698,-0.0961274802684784,-0.1686401218175888,-0.1779786497354507,-0.172468215227127,-0.1039174869656562,-0.1136027500033378,-0.0927299410104751,-0.0183560140430927,-0.1196339577436447,-0.2687340080738067,-0.3753168284893036,-0.1255132108926773,-0.0719901993870735,-0.1113650947809219,-0.2578758299350738,-0.1593906879425048,-0.1499570310115814,-0.1735903471708297,-0.0467643849551677,-0.0905128493905067,-0.12817953526973724
110,-0.10573,-0.1083246693015098,0.0030033979564905,-0.0061580780893564,-0.1734104603528976,-0.0390378050506114,-0.1403601020574569,-0.1453846991062164,-0.1562993079423904,-0.1090426817536354,-0.0789317563176155,-0.0743173286318779,-0.1841021478176117,-0.0104912668466568,-0.0770431011915206,-0.068873330950737,-0.0439778305590152,-0.0305118579417467,-0.1586785316467285,-0.0813753455877304,-0.1024933531880378,-0.1003306284546852,-0.1166733726859092,-0.2374562174081802,0.0032119692768901,-0.0206287819892168,-0.235224038362503,-0.1417668759822845,-0.0716632828116417,-0.02764546312391758
111,-0.0986,-0.0350453108549118,-0.0103632928803563,-0.0678595453500747,-0.0316836312413215,-0.0605638846755027,-0.0347995571792125,-0.0482360869646072,-0.0012514588888734,0.0147354919463396,-0.0273689404129982,-0.0434923619031906,-0.1860325187444687,-0.097470074892044,-0.047026939690113,-0.03408645093441,0.020615130662918,-0.1336878985166549,-0.2039202004671096,-0.051720455288887,0.023029651492834,-0.0300875417888164,-0.3311344087123871,-0.1285049468278885,-0.0107581624761223,0.0752487629652023,-0.212358757853508,0.0698980093002319,-0.0815710797905922,-0.048799511045217514
112,-0.12047,-0.1683864444494247,0.0343430936336517,-0.1234845072031021,-0.2458064407110214,-0.0740725174546241,-0.0885018855333328,-0.1023098826408386,-0.0185896903276443,-0.060999147593975,-0.0479939170181751,-0.1042747944593429,-0.1083258017897605,-0.0545105934143066,-0.0112117351964116,0.020528869703412,0.0331320576369762,-0.1024274751543998,-0.0407807417213916,-0.0166283641010522,-0.0835954546928405,0.0034586687106639,-0.1118165850639343,-0.0687440335750579,-0.0723280683159828,0.064233548939228,-0.0571199059486389,-0.0609891414642334,-0.0623562783002853,-0.07703309506177902
113,-0.15726,-0.2135280817747116,-0.0527366995811462,-0.1585195958614349,-0.1312220394611358,-0.1810434162616729,-0.1129096522927284,-0.2261216342449188,-0.0687000527977943,-0.079107865691185,-0.0986410975456237,-0.0829404816031456,-0.1781811863183975,-0.1060773804783821,-0.1510500907897949,-0.0774119272828102,-0.0999459475278854,-0.0780623629689216,-0.0987632200121879,-0.1616721451282501,-0.1777727156877517,0.002755754860118,-0.2068768143653869,-0.1438875049352646,-0.1228374615311622,-0.1481431275606155,-0.1363864839076995,-0.163323163986206,-0.1574372947216034,-0.12861593067646027
114,-0.20008,-0.2261031419038772,-0.0675129890441894,-0.1732570081949234,-0.357062965631485,-0.2278732657432556,-0.20994932949543,-0.2152136415243148,-0.2521388828754425,-0.1599822342395782,-0.1160595491528511,-0.2635672986507416,-0.2293538302183151,-0.2977599799633026,-0.1361684799194336,-0.1746080964803695,-0.1148802265524864,-0.2315546870231628,-0.2489580363035202,-0.0933169573545456,-0.1089694425463676,-0.1679383367300033,-0.2224566340446472,-0.2965413928031921,-0.2120831757783889,-0.1099868193268776,-0.2927395403385162,-0.2810986042022705,-0.3240769803524017,-0.2451229691505432
115,-0.2439,-0.3596836030483246,-0.2238996475934982,-0.2213722467422485,-0.2193035185337066,-0.2903114259243011,-0.1924565285444259,-0.3030107021331787,-0.2718544602394104,-0.1651481986045837,-0.1966824978590011,-0.2313353568315506,-0.2258887141942978,-0.2432960271835327,-0.1925184428691864,-0.2340903878211975,-0.2400527000427246,-0.2219196259975433,-0.3814764022827148,-0.1963697373867035,-0.2160460352897644,-0.3076923191547394,-0.2111956626176834,-0.2446106970310211,-0.2384139448404312,-0.2091141045093536,-0.2832796573638916,-0.1768870949745178,-0.2765864729881286,-0.224254310131073
116,-0.29183,-0.4018052220344543,-0.170508399605751,-0.2603633999824524,-0.3123849034309387,-0.3370612561702728,-0.3440818786621094,-0.3039310574531555,-0.304926335811615,-0.3135445713996887,-0.2742097079753876,-0.3137567341327667,-0.3885615766048431,-0.276271641254425,-0.5190868973731995,-0.2035208046436309,-0.1372570097446441,-0.3317191898822784,-0.3116412162780761,-0.2238841652870178,-0.3053300678730011,-0.3044889867305755,-0.4628306031227112,-0.3592102229595184,-0.2447749078273773,-0.2132294774055481,-0.3167026042938232,-0.3137599527835846,-0.2431837320327758,-0.22785532474517822
117,-0.36018,-0.4231912493705749,-0.215141162276268,-0.2646299600601196,-0.2972242832183838,-0.3605386614799499,-0.352233350276947,-0.3714266419410705,-0.3156910836696625,-0.3556775152683258,-0.312826007604599,-0.3935520052909851,-0.3837242424488067,-0.2768343091011047,-0.3984763920307159,-0.2796408832073211,-0.2630270719528198,-0.4067128002643585,-0.3612415492534637,-0.3181138932704925,-0.3475773930549621,-0.4277768135070801,-0.3993167281150818,-0.2997333705425262,-0.3828733563423157,-0.3078129291534424,-0.3513613045215606,-0.3423351645469665,-0.2482681423425674,-0.32603752613067627
